Age,YearsExperience,EducationLevel,Certification,ProjectsCompleted,WorkingHoursPerWeek,Salary
22,1,Bachelor,0,2,40,35000
23,2,Bachelor,1,3,42,40000
24,2,Master,0,4,40,43000
25,3,Bachelor,1,5,45,48000
26,4,Master,1,6,44,55000
27,5,Bachelor,0,7,46,60000
28,6,Master,1,8,45,68000
29,7,Master,1,9,47,75000
30,8,Bachelor,1,10,48,82000
31,9,Master,1,11,45,90000
32,10,PhD,1,12,46,98000
33,11,Master,1,13,47,105000
34,12,Bachelor,1,14,48,112000
35,13,Master,1,15,45,118000
36,14,PhD,1,16,46,125000
37,15,Master,1,17,47,132000
38,16,Bachelor,1,18,48,138000
39,17,Master,1,19,46,145000
40,18,PhD,1,20,45,152000
41,19,Master,1,21,46,160000
42,20,PhD,1,22,47,168000
43,21,Master,1,23,48,175000
44,22,Bachelor,1,24,46,182000
45,23,Master,1,25,45,190000
46,24,PhD,1,26,47,198000
47,25,Master,1,27,48,205000
48,26,Bachelor,1,28,46,212000
49,27,Master,1,29,45,220000
50,28,PhD,1,30,47,228000
51,29,Master,1,31,48,235000
