OrderID,Customer,Category,Product,Quantity,Price,Payment,City,Status
101,Amit,Electronics,Laptop,1,55000,UPI,Pune,Delivered
102,Priya,Clothing,T-Shirt,3,900,Card,Mumbai,Delivered
103,Rahul,Electronics,Mouse,2,1200,Cash,Pune,Pending
104,Sneha,Furniture,Chair,2,5000,UPI,Delhi,Delivered
105,Karan,Electronics,Keyboard,1,1800,Card,Pune,Delivered
106,Neha,Clothing,Jeans,2,1500,UPI,Mumbai,Pending
107,Riya,Furniture,Table,1,7000,Cash,Delhi,Delivered
108,Arjun,Electronics,Monitor,1,12000,Card,Bangalore,Delivered
109,Meera,Clothing,Jacket,2,2500,UPI,Pune,Delivered
110,Vikas,Electronics,Headphones,3,2000,Cash,Hyderabad,Pending
111,Anjali,Books,Python Book,2,650,UPI,Nagpur,Delivered
112,Rohan,Groceries,Rice Bag,4,1200,Card,Nashik,Delivered
113,Pooja,Electronics,Smartphone,1,25000,UPI,Mumbai,Delivered
114,Suresh,Furniture,Sofa,1,18000,Cash,Pune,Pending
115,Komal,Clothing,Saree,2,3500,Card,Kolhapur,Delivered
116,Yash,Electronics,Tablet,1,18000,UPI,Pune,Delivered
117,Nikita,Groceries,Oil Can,5,850,Cash,Satara,Delivered
118,Ajay,Books,Data Science Book,1,950,Card,Aurangabad,Pending
119,Shweta,Electronics,Printer,1,8500,UPI,Nagpur,Delivered
120,Manoj,Furniture,Bed,1,22000,Card,Mumbai,Delivered
121,Deepa,Clothing,Shirt,4,1200,Cash,Pune,Delivered
122,Rakesh,Electronics,Power Bank,2,1800,UPI,Delhi,Pending
123,Vaishali,Groceries,Sugar,3,180,Cash,Mumbai,Delivered
124,Akash,Books,Java Book,2,750,Card,Pune,Delivered
125,Tejas,Electronics,Webcam,2,2500,UPI,Hyderabad,Delivered
126,Mansi,Furniture,Study Table,1,6500,Card,Nashik,Pending
127,Kishor,Clothing,Trousers,3,1500,Cash,Pune,Delivered
128,Sonal,Electronics,SSD,2,4500,UPI,Bangalore,Delivered
129,Rahul,Groceries,Wheat Flour,2,700,Card,Delhi,Delivered
130,Asha,Books,Machine Learning Book,1,1200,Cash,Pune,Pending
